Country Name,Country Code,Series Name,Series Code,2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023],2024 [YR2024]
Germany,DEU,Current account balance (% of GDP),BN.CAB.XOKA.GD.ZS,-1.5131310276989,-0.17042466008937,1.98424702046954,1.53250948753762,4.53374240243279,4.64324145764123,5.83661726884206,6.70574096490581,5.57681458234834,5.87415966958685,5.77101102573257,6.25886646333735,7.19271816687105,6.72723104677662,7.19249005241927,8.10033539639848,8.89985353214632,8.08358573755333,8.44474369079797,7.88005874480123,6.34985102790796,6.93113737824586,3.88506689580802,5.55668585897884,5.73091235034847
Germany,DEU,External debt stocks (% of GNI),DT.DOD.DECT.GN.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Germany,DEU,"Foreign direct investment, net inflows (% of GDP)",BX.KLT.DINV.WD.GD.ZS,12.6085323042305,2.89610853662772,2.43861371432105,2.5802310174772,-0.715503012520617,2.06799391408494,2.87049561649648,1.4594247021417,0.812719205455151,1.62945868783671,2.48078642393235,2.55005949502613,1.8189263536368,1.76465787052263,0.437659919660916,1.82321441511708,1.64319555960592,2.89088052868023,4.00421026360441,1.90698688059703,4.48666571074036,2.93470785974787,2.0947134896352,1.71109200964451,1.02145633651483
Italy,ITA,Current account balance (% of GDP),BN.CAB.XOKA.GD.ZS,-0.270230356072507,0.15478537448926,-0.489738960441859,-0.766212290849885,-0.4953081424742,-0.896244191801555,-1.44603855867144,-1.35566295251184,-2.68669173430211,-1.77411764067094,-3.24412215335914,-2.74163808728921,-0.215238993496647,1.03825599780866,1.70979552518119,1.23326652485505,2.46140246001819,2.47968309636806,2.57144669559437,3.23388196417885,3.9369545603398,2.1243004153607,-1.72642752142058,0.141483235698338,1.1277967732789
Italy,ITA,External debt stocks (% of GNI),DT.DOD.DECT.GN.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Italy,ITA,"Foreign direct investment, net inflows (% of GDP)",BX.KLT.DINV.WD.GD.ZS,1.14581409094162,1.26941636801649,1.3449900649055,1.23649728851371,1.10881762156492,1.9711754818286,2.91006549515942,2.9684958153757,-0.393031898243064,0.751632233908177,0.462974196548407,1.49396922230512,0.00166359418160288,0.907076904789882,0.783743281747353,0.720886367724088,1.35957350873308,0.44334154868577,2.10769610409513,1.77066894209208,-0.893869914296467,1.20474315612308,2.94181405797187,1.82329512104505,0.917841215922769
China,CHN,Current account balance (% of GDP),BN.CAB.XOKA.GD.ZS,1.67667411710879,1.28417196444636,2.37759984341841,2.55665409110255,3.47450259619584,5.71199843031159,8.30532573537484,9.79958953536148,9.01086996317632,4.68740638141982,3.8402567341525,1.77399724587567,2.48328422404794,1.52111320885029,2.21130586371267,2.59752794949746,1.67018709565352,1.50488723669316,0.170563391928727,0.706790487310523,1.65930095801393,1.93875176197337,2.42059259149418,1.4415829879426,2.2616499482671
China,CHN,External debt stocks (% of GNI),DT.DOD.DECT.GN.ZS,12.1927786705436,13.9608819417593,12.741423667485,12.5559216134546,12.6836881505815,12.593639357984,11.8828661329439,10.6157965345491,8.35888541397525,8.92364851883977,12.2541297504158,14.0915092088721,13.4881901596403,15.5960421325697,16.9548419226657,12.1154906525366,12.6494291599102,13.9154855194928,14.1794107921144,14.8466857677962,15.9657544053211,15.3950356395985,13.8085068654993,13.7159179498305,..
China,CHN,"Foreign direct investment, net inflows (% of GDP)",BX.KLT.DINV.WD.GD.ZS,3.43984725315719,3.47245235578959,3.56241418263928,3.43849537731211,3.43299015092913,4.49218509012467,4.44499743873597,4.3353750023692,3.67520717506327,2.52538984334254,3.93541996731513,3.65069190228425,2.78099138181613,2.98598708261986,2.51155883670463,2.14957284731564,1.52539470315395,1.32468971748483,1.66361992284408,1.28549226847992,1.68770756292082,1.8903454142588,1.03841365474349,0.280991103634816,0.0989988051182737
Japan,JPN,Current account balance (% of GDP),BN.CAB.XOKA.GD.ZS,2.63045548903539,1.97087092323799,2.60256520794997,3.08393890811207,3.71938350458584,3.52114065640567,3.79586172862876,4.62330048259255,2.78294234789655,2.75409583494435,3.83547896264376,2.07915328846556,0.95844261141204,0.889785415808863,0.742322049627638,3.0702796590698,3.93809128404804,4.12036966283801,3.51661817468288,3.45076611445328,2.96847858242384,3.89996604353179,2.11637961936876,3.71672795030717,4.82480926257698
