Country,Year,Exports of goods and services (% of GDP),GDP (current US$),GDP growth (annual %),GDP per capita (current US$),Imports of goods and services (% of GDP),"Inflation, consumer prices (annual %)",Trade (% of GDP),"Employment to population ratio, 15+, female (%) (modeled ILO estimate)","Employment to population ratio, 15+, male (%) (modeled ILO estimate)","Employment to population ratio, ages 15-24, female (%) (modeled ILO estimate)","Employment to population ratio, ages 15-24, female (%) (national estimate)","Employment to population ratio, ages 15-24, male (%) (modeled ILO estimate)","Employment to population ratio, ages 15-24, male (%) (national estimate)","Employment to population ratio, ages 15-24, total (%) (modeled ILO estimate)",Unemployment with advanced education (% of total labor force with advanced education),"Unemployment with advanced education, female (% of female labor force with advanced education)","Unemployment with advanced education, male (% of male labor force with advanced education)",Unemployment with basic education (% of total labor force with basic education),"Unemployment with basic education, female (% of female labor force with basic education)","Unemployment with basic education, male (% of male labor force with basic education)","Unemployment, female (% of female labor force) (modeled ILO estimate)","Unemployment, male (% of male labor force) (modeled ILO estimate)","Unemployment, total (% of total labor force) (modeled ILO estimate)_x","Unemployment, youth female (% of female labor force ages 15-24) (modeled ILO estimate)","Unemployment, youth male (% of male labor force ages 15-24) (modeled ILO estimate)","Unemployment, youth total (% of total labor force ages 15-24) (modeled ILO estimate)",Current account balance (% of GDP),External debt stocks (% of GNI),"Foreign direct investment, net inflows (% of GDP)",Gini index,"Life expectancy at birth, female (years)","Life expectancy at birth, male (years)","Life expectancy at birth, total (years)",Population growth (annual %),Poverty headcount ratio at $3.00 a day (2021 PPP) (% of population),"Unemployment, total (% of total labor force) (modeled ILO estimate)_y",Urban population (% of total population),agr_area_harvested_avg,agr_production_avg,agr_yield_avg,agr_area_harvested_item_count,agr_production_item_count,agr_yield_item_count,agr_area_harvested_total,agr_production_total,agr_yield_total,pop_rural_population,pop_total_population___both_sexes,pop_total_population___female,pop_total_population___male,pop_urban_population,disaster_count,disaster_deaths,disaster_injured,disaster_affected,disaster_total_affected,disaster_damage_usd_thousands,disaster_aid_usd_thousands,Trade_Dependency_Index,Resilience_Score,Spending_Efficiency,Shock_Impact_Score
China,2010,0.21261276028591242,6192564874453.29,0.5247871041019356,0.05241596981048914,0.16018600602852268,0.20921232954937075,49.8540722339456,0.9225513993152116,0.7181896505303969,50.268,59.949,53.077,59.706,51.744,3.843,4.507,3.445,3.137,3.246,3.051,3.929,5.009,4.53,8.698,10.763,9.823,3.8402567341525,0.02829815738697239,3.93541996731513,43.7,78.329,73.191,0.699137201827102,0.482959688678361,20.6,4.53,49.226,1425449.9083333334,11494038.231280789,11339.2275,120.0,203.0,120.0,171053989.0,2333289760.95,1360707.3,696249563.0,0.9479297714747337,675640944.0,706809041.0,694170135.0,25.0,0.08115319389485585,0.0370987120273162,0.5203038500718684,180656804.0,0.10669789196310936,9448.0,0.18639938315721755,0.38070308830058514,0.22068814644126014,0.7861899522448554
China,2011,0.20605248127065084,7671757207851.29,0.5121826310974751,0.06495828091816658,0.16775004598899085,0.24678945764093407,49.9458272253443,0.922085228825411,0.7130741478649505,49.084,59.949,52.204,59.706,50.728,3.843,4.507,3.445,3.137,3.246,3.051,3.947,5.032,4.55,8.855,10.908,9.98,1.77399724587567,0.040391307802821075,3.65069190228425,42.4,78.65,73.334,0.7066147859922176,0.546457594880274,15.7,4.55,50.511,1445352.1083333334,11917238.29403941,11634.395833333334,120.0,203.0,120.0,173442253.0,2419199373.69,1396127.5,682518202.0,0.9539756268706097,679926627.0,711315716.0,715762326.0,19.0,0.008434143583945732,0.002866681673577982,0.35775632012548303,124272883.0,0.05669167607754565,0.0,0.18690126362982085,0.4956971366235767,0.22619221947393708,0.44628852475889624
China,2012,0.1936966610836252,8673664713189.24,0.4943558860872478,0.07314419633775343,0.15187766966235605,0.2004316978270203,47.48021307841,0.9166519313925636,0.6979968768510043,48.116,59.949,51.455,59.706,49.88,3.843,4.507,3.445,3.137,3.246,3.051,3.973,5.066,4.58,9.033,11.082,10.161,2.48328422404794,0.03642041982019563,2.78099138181613,42.2,78.981,73.624,0.7171375401793267,0.678345458846803,13.2,4.58,51.765,1439912.173553719,12188647.915539216,11740.363636363636,121.0,204.0,121.0,174229373.0,2486484174.77,1420584.0,669007424.0,0.960448244379698,684538666.0,716116667.0,737124022.0,28.0,0.009067269643866591,0.10459726783810977,0.12835555565098541,44562685.0,0.09295375964615096,0.0,0.17278716537299063,0.6042278641486934,0.30881669223665886,0.348767886215012
China,2013,0.18320042576174145,9743124247267.24,0.49349573311204414,0.08180495768857157,0.14444840887972166,0.20045580095898413,45.9160413795144,0.9115722805381857,0.6832157665176888,47.163,59.949,50.723,59.706,49.049,3.843,4.507,3.445,3.137,3.246,3.051,3.991,5.089,4.6,9.197,11.239,10.327,1.52111320885029,0.050293749493966394,2.98598708261986,39.7,79.223,73.881,0.7256640162409069,0.666072977690069,6.2,4.6,53.013,1447606.578512397,12370159.33127451,11892.263636363636,121.0,204.0,121.0,175160396.0,2523512503.58,1438963.9,655323811.0,0.9670719141032801,689276305.0,721011688.0,758533671.0,43.0,0.015771622385528546,0.044125743452330904,0.07902000095312489,27549425.0,0.16680265386787127,0.0,0.16382441732073155,0.6247887792909693,0.3262403912605608,0.31612923513873303
China,2014,0.17065857701129522,10674533168257.4,0.4899771233629362,0.08920570422025556,0.13581587328173045,0.18940642567485996,44.0684564812401,0.9081483386648234,0.6714501103871628,46.225,59.949,50.008,59.706,48.234,3.843,4.507,3.445,3.137,3.246,3.051,4.018,5.123,4.63,9.385,11.426,10.521,2.21130586371267,0.05923701386487662,2.51155883670463,39.2,79.51,74.119,0.7345288445271527,0.630326389541893,4.7,4.63,54.259,1456976.3223140496,12297820.46509804,12110.83388429752,121.0,204.0,121.0,176294135.0,2508755374.88,1465410.9,641352868.0,0.9733063447857426,693772000.0,725582593.0,779954516.0,41.0,0.017806670435274168,0.011162972344793732,0.18590849504140575,64912574.0,0.1367258281573499,0.0,0.15323722514651283,0.569577481400354,0.35876814452550565,0.3612465968354768
China,2015,0.14614740852175223,11280814787468.9,0.4846116439499207,0.09380779810417518,0.09884871265635524,0.1817503491594063,38.6971848362233,0.9044832741243227,0.6589575144041786,45.332,59.949,49.334,59.706,47.463,3.843,4.507,3.445,3.137,3.246,3.051,4.036,5.145,4.65,9.558,11.594,10.697,2.59752794949746,0.027385671152049887,2.14957284731564,38.6,79.785,74.365,0.743359837590932,0.581456146657648,3.0,4.65,55.5,1518559.6776859504,12639101.27509804,12145.757851239669,121.0,204.0,121.0,183745721.0,2578376660.12,1469636.7,627097042.0,0.9790118706142259,697933695.0,729718321.0,801263909.0,36.0,0.005664217071791973,0.0018143898198899433,0.010672020373703859,3785759.0,0.0869214191605496,0.0,0.12249806058905374,0.6617291732122865,0.448547071984063,0.10732447915624838
China,2016,0.12620424960254378,11456024084962.0,0.4823546565603831,0.09473618183646426,0.08989218345830878,0.1906443736378821,36.1771706929069,0.9008664341172498,0.6468687738947823,44.586,59.949,48.844,59.706,46.86,3.843,4.507,3.445,3.137,3.246,3.051,3.958,5.047,4.56,9.478,11.462,10.593,1.67018709565352,0.030899914577796908,1.52539470315395,38.5,80.052,74.575,0.7514464557604468,0.573050906069647,2.2,4.56,56.736,1499359.5041322317,12581615.269705882,12298.763636363636,121.0,204.0,121.0,181422500.0,2566649515.02,1488150.4,612549421.0,0.9845328753999801,702008575.0,733672520.0,822422660.0,33.0,0.014550593555681175,0.00515839975699652,0.20812038563537885,72201622.0,0.2113573310747224,0.0,0.10804821653042629,0.5578874158467519,0.42761542165697786,0.4460859306078762
China,2017,0.12772094101515702,12537559062282.9,0.48363972700082825,0.10319652776782251,0.09721747317636074,0.18421663668812177,36.9508526159275,0.8958350077962995,0.6314953422002043,43.863,59.949,48.352,59.706,46.265,3.843,4.507,3.445,3.137,3.246,3.051,3.881,4.948,4.47,9.362,11.292,10.452,1.50488723669316,0.039232765977059644,1.32468971748483,39.1,80.27,74.448,0.7521569954322449,0.605245013482969,1.7,4.47,57.96,1514309.2975206613,13042401.483970588,12552.49256198347,121.0,204.0,121.0,183231425.0,2660649902.73,1518851.6,597816520.0,0.9903075777957207,706348457.0,737730664.0,843314783.0,30.0,0.005811192764273601,0.002652426373471397,0.04273621969828158,14890393.0,0.07756869941652551,0.0,0.11246920709575889,0.6422135929124975,0.4618319167786527,0.1300287012954807
China,2018,0.1212267620430967,14147765772963.8,0.4821454479895103,0.1161062030248919,0.1030238259069461,0.19182589658594396,36.8943843914148,0.8913662010320049,0.6171719347369553,43.44,59.949,48.192,59.706,45.987,3.843,4.507,3.445,3.137,3.246,3.051,3.743,4.772,4.31,8.691,10.46,9.694,0.170563391928727,0.040969853003731,1.66361992284408,38.5,80.573,75.034,0.7681948908814076,0.467672053461959,0.8,4.31,59.152,1498655.6776859504,13149293.011911765,12635.269421487605,121.0,204.0,121.0,181337337.0,2682455774.43,1528867.6,583199631.0,0.9949278108737599,709918983.0,740879243.0,863601691.0,22.0,0.004002261164499718,6.50902177538993e-05,0.024052074430886163,8338124.0,0.07210696405044231,0.0,0.1121252939750214,0.6541759677874397,0.4987449491006186,0.10073724749769979
China,2019,0.11301222053162717,14560167101283.4,0.4745022021016721,0.11910881250018253,0.09183500846745966,0.2048506024427648,35.1994202739021,0.884807664485846,0.5970599321522803,42.353,59.949,47.055,59.706,44.878,3.843,4.507,3.445,3.137,3.246,3.051,3.961,5.05,4.56,9.607,11.541,10.706,0.706790487310523,0.04536168214523641,1.28549226847992,38.2,80.747,75.303,0.7760108272711892,0.354740890170827,0.0,4.56,60.308,1494211.867768595,13487785.779162562,12808.258677685952,121.0,203.0,121.0,180799636.0,2738020513.17,1549799.3,568748198.0,0.9980586106136556,712408482.0,742942800.0,883204937.0,16.0,0.006455624646693047,0.0013072285398908112,0.015407388146995384,5339601.0,0.08773762469414643,0.0,0.10242361449954342,0.6528841028337972,0.4760291312921533,0.111123488866095
China,2020,0.11471158429077395,14996414166715.1,0.43309596556973734,0.12243038226819651,0.07689973231606438,0.19727044483381742,34.0389507864018,0.8604382002604124,0.5502126972160897,38.911,59.949,43.605,59.706,41.435,3.843,4.507,3.445,3.137,3.246,3.051,4.342,5.537,5.0,11.388,13.642,12.678,1.65930095801393,0.05272709885160225,1.68770756292082,37.1,80.999,75.245,0.7786838098460498,0.238040870229883,0.0,5.0,61.428,1503226.876033058,13733904.152906405,12906.36776859504,121.0,203.0,121.0,181890452.0,2787982543.04,1561670.5,554487938.0,0.9998406433243349,714041712.0,743901142.0,902077760.0,12.0,0.005234595816845675,6.50902177538993e-05,0.043076058676048704,14925979.0,0.10865800865800866,0.0,0.09580565830341917,0.6148797474715655,0.48972438184381656,0.1570586246503411
China,2021,0.1299114314124581,18201698719564.0,0.5022845000972203,0.14880998352438018,0.09013109628148293,0.17454624488397463,36.5206911762564,0.8838431738172933,0.5853481234182325,40.151,59.949,44.395,59.706,42.436,3.843,4.507,3.445,3.137,3.246,3.051,3.953,5.04,4.55,11.163,13.374,12.422,1.93875176197337,0.048970777397551846,1.8903454142588,35.7,80.912,75.486,0.7819996616477756,0.0892522000412526,0.0,4.55,62.512,1505802.157024793,13879904.981280789,13004.939669421488,121.0,203.0,121.0,182202061.0,2817620711.2000003,1573597.7,540439367.0,1.0,714591397.0,743583206.0,920173874.0,16.0,0.005144149236856982,0.0012231536752920246,0.051617623000332034,17888974.0,0.12025456427630342,0.0,0.1100212638469705,0.6445790506689918,0.6657627962408791,0.17823931194947254
China,2022,0.13877729373260467,18316765021690.2,0.44191404547966934,0.1497807872879285,0.09182673082902058,0.19022688691841871,37.4407198763585,0.8603899757269847,0.5421625114425717,38.82,59.949,42.851,59.706,40.991,3.843,4.507,3.445,3.137,3.246,3.051,4.326,5.516,4.98,13.318,15.934,14.811,2.42059259149418,0.038528660492438985,1.03841365474349,35.7,81.133,75.467,0.7848756555574354,-0.0130995013525784,0.0,4.98,63.56,1516494.1652892565,14051298.365812806,13054.261157024794,121.0,203.0,121.0,183495794.0,2852413568.26,1579565.6,526626069.0,0.9990341245347917,714369838.0,742400113.0,937461423.0,11.0,0.0031995477671000567,0.0013207890019228735,0.01820758282504744,6309457.0,0.07528703180877094,0.0,0.11530201228081263,0.6319850829112206,0.6547606570530856,0.09810961496322035
China,2023,0.12504151271094088,18270356654533.2,0.46724273795807897,0.14955402026250916,0.09022552104760391,0.16275799032238508,36.1051923690574,0.8638139176003471,0.549001130795326,37.995,59.949,41.975,59.706,40.141,3.843,4.507,3.445,3.137,3.246,3.051,4.057,5.173,4.67,14.178,16.919,15.745,1.4415829879426,0.03791926449703374,0.280991103634816,35.7,80.926,75.201,0.7764506851632551,-0.103794531589067,0.0,4.67,64.57,1527590.388429752,16654545.12375,13120.763636363636,121.0,168.0,121.0,184838437.0,2797963580.79,1587612.4,513079075.0,0.9971698139155705,713597370.0,740461354.0,953931777.0,15.0,0.004364047484454494,0.0029154993368934066,0.008222749735739878,2864655.0,0.13904573687182384,0.0,0.10763351687927239,0.643740250496293,0.7452427787808199,0.15498651913211436
China,2024,0.13561915282817782,18743803170827.2,0.46238405959776774,0.15366240138858553,0.09219790613955857,0.16249403616544747,37.1984201388623,0.858637817679114,0.5387970491626728,37.892,59.949,41.782,59.706,39.99,3.843,4.507,3.445,3.137,3.246,3.051,3.975,5.062,4.571,13.546,16.482,15.226,2.2616499482671,0.03791926449703374,0.0989988051182737,35.7,80.926,75.201,0.7764506851632551,-0.123063407363995,0.0,4.571,65.544,1527590.388429752,16654545.12375,13120.763636363636,0.0,0.0,0.0,0.0,0.0,0.0,513079075.0,0.9971698139155705,713597370.0,740461354.0,953931777.0,17.0,0.004951950254381006,0.0006997198408544176,0.00042680231619909685,148287.0,0.034218897044984,0.0,0.1139085294838682,0.6431613497753487,0.7667237361837228,0.040411701680460994
Croatia,2000,0.3087627667104049,22134411297.473,0.4398157448100822,0.05620261100571243,0.34717974906674215,0.23189836167460737,74.6016854703406,0.5293607034351943,0.13329922998223043,21.343,21.755,26.587,29.587,24.024,9.502,10.008,8.972,13.661,16.241,11.222,17.34,15.047,16.064,41.609,41.981,41.82,-1.52722841882587,0.1327831977699491,4.58593627511279,31.3,76.68,69.12,0.6023618635780341,-0.986434858645568,0.0,16.064,53.428,14014.166666666666,64151.435047619045,7265.570000000001,60.0,105.0,60.0,840850.0,6735900.68,435934.2,2062239.0,0.00029573563546538657,2246968.0,2079137.0,2365833.0,2.0,0.00046353872244205767,0.0005424184812824942,0.0,200.0,0.0012128270280444195,0.0,0.3279712578885735,0.4576040890043885,0.15411378896570743,7.477309654060026
Croatia,2001,0.33225660019588904,23066883849.6467,0.4416591210058141,0.0610022016490209,0.37908024131510243,0.21871299918384252,79.4405856034588,0.5239434808468227,0.13133380001076955,21.067,21.755,28.07,29.587,24.65,9.502,10.008,8.972,13.661,16.241,11.222,17.905,14.146,15.822,41.598,38.221,39.677,-2.23834054152959,0.1327831977699491,4.4945739209067,31.1,78.17,71.03,0.6600550441302078,-3.8476707266781,0.0,15.822,53.642,14287.983333333334,77162.51038095239,7769.116666666667,60.0,105.0,60.0,857279.0,8102063.59,466147.0,2043497.0,0.00027852366497758616,2233751.0,2067323.0,2364583.0,1.0,0.0,0.0,3.4631801054779035e-06,1200.0,0.0,0.0,0.35566842075549576,0.47644920359821996,0.17354961057353852,0.012389577482663592
Croatia,2002,0.3179795038487418,26757722428.6781,0.47155721122453975,0.07097922378418274,0.41290151401729075,0.18545913735599315,81.1609977960211,0.5258563873394524,0.1280760325238275,21.693,21.755,29.45,29.587,25.66,9.502,10.008,8.972,13.661,16.241,11.222,17.32,13.212,15.053,39.056,34.629,36.533,-6.2103221208118,0.1327831977699491,3.66542521482355,30.633333333333333,78.4,71.21,0.666970633502646,0.0588712912047699,0.0,15.053,53.81,14386.083333333334,83983.22076190475,8101.3,60.0,105.0,60.0,863165.0,8818238.18,486078.0,2030408.0,0.0002817610089533187,2236582.0,2069200.0,2365411.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3654405089330163,0.48849801821960853,0.2230344392164357,0.0
Croatia,2003,0.31401204071154154,35245317001.8224,0.46894781793503476,0.09398030067534667,0.4200646113556164,0.18696870710671293,81.4432514353208,0.5371248533170441,0.14102633137687803,20.608,20.674,28.347,28.488,24.563,7.387,8.478,6.222,14.017,13.809,14.22,15.64,12.533,13.924,38.698,34.14,36.089,-9.1066358196642,0.1327831977699491,5.23880665324196,30.166666666666668,78.23,71.17,0.663471576350005,0.0284699231131846,0.0,13.924,53.979,14227.916666666666,63150.10773584906,6686.419672131147,60.0,106.0,61.0,853675.0,6693911.42,407871.6,2019844.0,0.00028238262300473403,2237642.0,2069044.0,2369102.0,3.0,0.008908988128886377,0.0,0.0,0.0,0.0016469038208168645,0.0,0.367038326033579,0.48604383481289043,0.2939153929237878,37.249609160145646
